word,sentiment,n
bad,0,1
terrorist,0,2
taliban,0,3
hostage,0,4
evacuate,0,5
evacuation,0,6
assault,0,7
attack,0,8
horrible,0,9
kill,0,10
killed,0,11
die,0,12
died,0,13
homicide,0,14
genocide,0,15
bomb,0,16
bombing,0,17
massacre,0,18
death,0,19
threat,0,20
bombs,0,21
flee,0,22
hurricane,0,23
tsunami,0,24
tragic,0,25
tragedy,0,26
risk,0,27
protest,0,28
angry,0,29
mad,0,30
warns,0,31
guerilla,0,32
unfortunate,0,33
good,1,34
great,1,35
amazing,1,36
fight,1,37
win,1,38
wins,1,39
celebrates,1,40
rescued,1,41
saved,1,42
sanctuary,1,43
safe,1,44
safety,1,45
happy,1,46
happier,1,47
better,1,48
safer,1,49
murder,0,50
north korea,0,51
victim,0,52
terrified,0,53
terror,0,54
violence,0,55
hurt,0,56
fire,0,57
peace,1,58
free,1,59
casualties,0,60
doom,0,61
well,1,62
war,0,63
care,1,64
caring,1,65
help,1,66
lose,0,67
loss,0,68
losing,0,69
lost,0,70
under-paid,0,71
under-employed,0,72
un-employed,0,73
un-able,0,74
green,1,75
eco-friendly,1,76
improve,1,77
crisis,0,78
chaos,0,79
first ever,1,80
batter,0,81
destroy,0,82
harm,0,83
pleasing,1,84
splendid,1,85
accomplished,1,86
kindness,1,87
grateful,1,88
eradicated,1,89
fury,0,90
cheat,0,91
suffer,0,92
beautiful,1,93
bullish,1,94
best,1,95
cheer,1,96
clean,1,97
delight,1,98
earnest,1,99
fantastic,1,100
catastroph,0,101
crash,0,102
accident,1,103
extremist,0,104
abuse,0,105
jailed,0,106
sour,0,107
bitter,0,108
stab,0,109
